корпус,этаж, Категория,Локация,Название,Есть в макетах?,Описание, Дополнительный комментарий ,Контакты,Ссылка,Время работы (где нужно),Фото,ДОП коммент 
Альфа,1,Сервис ,,Станция мониторинга воздуха AirVisual,Нет,"В нашем офисе установлены приборы по анализу качества воздуха в офисе. Они позволяют нам контролировать состояние воздуха в помещениях, сравнивать его с параметрами воздуха на улице и оперативно принимать меры при наличии отклонений, чтобы сделать ваше пребывание в офисе еще более комфортным

Больше информации: https://jive.croc.ru/docs/DOC-239136",,FieldService@croc.ru,https://jive.croc.ru/docs/DOC-287102,,просто поставить тиочку на 1 этаже с информацией ,
Альфа,2,Переговорные ,212,Конференц-зал + холл перед ним ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot

",Вместимость до 100 чел ,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,"https://andreymashkin.ru/disk/share/ozWe94uAZMd9k
https://andreymashkin.ru/disk/share/6MZG26hp9mPvX
https://andreymashkin.ru/disk/share/zoqVAmHJ71gkb
прикрепила дополнительно фото 
",
Альфа,2,Переговорные ,214,Конференц-зал  ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot

",Вместимость до 30 чел ,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,https://andreymashkin.ru/disk/share/gWGdybS0yPd3q,
Альфа,2,Переговорные ,204,Переговорная 204,Да,"ВКС
Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость 6 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,2,Переговорные ,206,Переговорная 206,Да,"ВКС
Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость 8 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,2,Переговорные ,208,Переговорная 208,Да,"ВСК, флипчарт
Бронируй через календарь в Outlook
или в @CrocLiveBot.",вместимость 10 чел ,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,приложила папку с фото ,
Альфа,2,Переговорные ,210,Переговорная 210,Да,"ВКС
Бронируй через календарь в Outlook
или в @CrocLiveBot.",вместимость 9 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,2,Переговорные ,202,Учебный класс 202,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость до 70 чел ,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,приложила папку с фото ,
Альфа,2,Переговорные ,2Б,Мультимедийный класс ,??,"ВКС
Бронируй через календарь в Outlook
",Вместимость 7 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,приложила папку с фото ,
Альфа,2,Питание ,,Столовая ,Да,"Столовая полного цикла для питания сотрудников и гостей КРОК
Основной зал
2 мягкие зоны ",,foodfeedback@croc.ru,https://jive.croc.ru/community/knowledge/everyday/social/lunch,с 8:30 до 21:30,"https://andreymashkin.ru/disk/share/kmDWabUzP83Q2
https://andreymashkin.ru/disk/share/G09JoeSx16y3M
https://andreymashkin.ru/disk/share/22gG7MuDggp6G
https://andreymashkin.ru/disk/share/b8AVKqhX9ekd6
https://andreymashkin.ru/disk/share/4KvpGYu59b10O",
Альфа,2,Эко-инициативы,,"Утилизация пластиковых крышек 







",Да,Точка сбора пластиковых крышек для дальнейшей переработки ,Больше информации: https://jive.croc.ru/docs/DOC-239136,,,,сделать типовую картинку крышки КРОК,
Альфа,2,Эко-инициативы,,"Утилизация бумаги

",Да,"Точка сбора бумаги
можно поставить у лифтового холла однотипно для всех локаций ","Альфа
3, 4, 5, 10, 11 этажи – шредер 
9 этаж  – контейнер для бумаги
1, 2, 6, 7, 8 этажи – ничего нет 

Бета
3, 4, 9 этажи – контейнеры для бумаги
7, 11 этажи – шредер 
1, 2, 5, 6, 8, 10 этажи  – ничего нет",WorkCare@croc.ru,https://jive.croc.ru/photos/4205,,,
Альфа,2,Релакс ,,Зона для настолок в столовой ,Нет,"Тот самый уголок в столовой «Альфа» теперь зона релакса и игр! 
Здесь можно отдохнуть от рабочих задач, поболтать с коллегами или сразиться в настолки. 
Тебя ждет множество игр, удобные пуфики и расслабленная атмосфера, в которой хочется остаться.
Бронируй пространство через Outlook для своей компании - имя пространства *Play Zone*",,,,с 8:30 до 21:30,"https://andreymashkin.ru/disk/share/02XRVKuegZ6k7
https://andreymashkin.ru/disk/share/AXnVWvs5BW9aV",
Альфа,2,Питание ,201,Буфет ,Да,"Пространство для еды и встреч с выходом на летнюю веранду.
Можно заказать блюда к определенному времени по телефону #8368

Доступна оплата части стоимости заказа картой-пропуском, а также проверка остатка баланса на карте.
",Добавить меню обновленное (пока без фотообразов),foodfeedback@croc.ru,https://jive.croc.ru/community/knowledge/everyday/social/lunch,"Часы работы: 11:00-19:00
Заказы принимаются до 16:00",https://andreymashkin.ru/disk/share/ngye5OCvyJM07,
Альфа,3,Релакс ,холл (оранжевый квадратик на карте ) ,Кикер,Нет,Зона для игр,Доступно без брони,,,,значок кикер,
Альфа,3,Переговорные ,3Б,Переговрная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 3 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,https://andreymashkin.ru/disk/share/JZeVJvuWxJvn0,
Альфа,3,Переговорные ,306,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

ВКС",Вместимость 8 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,3,Релакс ,316,Комната отдыха ,Да,"Уютное пространство для отдыха, разделённое на несколько зон:
     ·Игровая — с плазмой и мультимедийным оборудованием;
     ·Мягкая — с акустической стеной и диваном-трансформером
     ·Дзен — с массажными креслами и расслабляющей подсветкой под настроение.
Бронируй пространство
      через календарь в Outlook",,FieldService@croc.ru,,"Время бронирования
      доступно с 9 до 21ч","https://andreymashkin.ru/disk/share/WOMWqau3KqPo9
https://andreymashkin.ru/disk/share/JZeVJvuWxJ70x",
Альфа,3,Спорт ,318,Спортзал ,Да,"Площадь 190 м2,
Доступ 24/7
5 зон для занятия различными видами спорта
8 тренажеров
Групповые программы 

",можно взять фото из презы попробовать ,,"Подробнее о спортзале: https://jive.croc.ru/community/knowledge/everyday/corporate/sport/gym
Спортивная жизнь компании  : https://corplifecroc.ru/sport",,"https://andreymashkin.ru/disk/share/WOMWqau3Kq5xn
https://andreymashkin.ru/disk/share/D4WEXGSnYXpQY
https://andreymashkin.ru/disk/share/RrOMAYu0qAe0q
https://andreymashkin.ru/disk/share/8nbGEPsG6VRdv
",
Альфа,3,Спорт ,318,Раздевалка и душевые (спортзал) ,??,"Мужская/женская раздевалки 
Шкафчики для ождежды 
Фен 
Душевые кабинки
Санузел

",,,,,,
Альфа,3,Здоровье,308,Стоматологический кабинет,Да,"Услуги оказываются по ДМС.
Доктор:  Климчук Мария 
Запись на прием:
+7-926-535-52-27

Внутренний телефон стоматологического кабинета: 8321",,,https://jive.croc.ru/community/knowledge/everyday/social/stomatology,"Каждую неделю по вторникам.
Требуется предварительная запись",https://andreymashkin.ru/disk/share/ZRP375srMARBr,
Альфа,3,Красота,314,Парикмахерская ,Да,Кабинет можно забронировать для своего мастера,,,https://jive.croc.ru/community/knowledge/everyday/social/parikmaxer,,https://andreymashkin.ru/disk/share/KzBrRvuP9RO0x,
Альфа,3,Красота,314,Маникюрный кабинет,??,Кабинет можно забронировать для своего мастера,,,https://jive.croc.ru/community/knowledge/everyday/social/master-po-manikyuru,,"https://andreymashkin.ru/disk/share/P58KZMh9aZ7a3
https://andreymashkin.ru/disk/share/m4dazGS9gv6k6",
Альфа,3,Релакс ,308А,Массажный кабинет ,Да,Кабинет можно забронировать для своего мастера,,,https://jive.croc.ru/community/knowledge/everyday/social/massazhnyj-kabinet,,значок можно поставить ,
Альфа,4,Переговорные ,402 Б,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 3 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,"Типовое фото 
https://andreymashkin.ru/disk/share/b8AVKqhX9enzq",
Альфа,4,Переговорные ,402 Г,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","Вместимость 3 чел
без окна ","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,4,Переговорные ,402 Д,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 3 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,4,Переговорные ,402 Е,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 3 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,4,Переговорные ,402 З,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 3 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,4,Переговорные ,402 И,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 3 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,4,Переговорные ,402 К,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 3 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,4,Переговорные ,402 Л,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 3 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,4,Переговорные ,4Б,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 4 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,4,Питание ,с 3-11,Мини-кухня,Да,"Уютные локации для быстрых встреч и перекусов на всех этажах корпусов Альфа и Бета.

Каждая мини-кухня оборудована кофемашиной, системой фильтрации питьевой воды и холодильником для хранения еды.

Следить за порядком на мини-кухнях помогают кофе-леди. Если неожиданно закончилось молоко, чай/кофе или нужна помощь с бытовой техникой – напиши об этом или позвони по номеру +7(926)041-47-51.

Твой запрос передадут ответственному за данную локацию и решат в кратчайшие сроки.",,foodfeedback@croc.ru,,,"https://andreymashkin.ru/disk/share/RrOMAYu0qAMGx
https://andreymashkin.ru/disk/share/y0rVxlSZKk8o6",
Альфа,4,Сервис ,,Ресепшен ,Да,,"типовой ( на 4, 5, 10,11 этажи)",,Подробнее https://jive.croc.ru/community/knowledge/everyday/social/sekretariat/overview,,https://andreymashkin.ru/disk/share/xAl7ZoFDnz1O8,
Альфа,4,Релакс ,,Зона ожидания ,??,,,,,,"https://andreymashkin.ru/disk/share/vxBekbfbp1XdJ
https://andreymashkin.ru/disk/share/zoqVAmHJ71l8O",
Альфа,5,Переговорные ,504,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС, флипчарт
Вместимость 10 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,6,Сервис ,Холл 6 этажа ,Акустические кабинки ,??,Свободный доступ ,"они располагаются за монитором , надо подумать , как их подсветить ",,,,https://andreymashkin.ru/disk/share/P58KZMh9aZJbb,
Альфа,6,Переговорные ,603,Комната тишины ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 4 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,фото приложила ,"таких несколько : 803, 903"
Альфа,6,Переговорные ,608,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС, Флипчарт
Вместимость 6 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,6,Переговорные ,6 Б,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

",Вместимость 4 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,6,Переговорные ,606,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС
Вместимость 5 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,7,Переговорные ,712,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС
Вместимость 10 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,8,Переговорные ,803,Конмата тишины ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость 4 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,фото приложила ,"таких несколько : 803, 903"
Альфа,8,Переговорные ,808,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость 6 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,"точка, а фото будет позже ",
Альфа,8,Переговорные ,810,Учебный зал,Нет инфы тут ,,,,,,,
Альфа,9,Переговорные ,903,Конмата тишины ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость 4 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,https://andreymashkin.ru/disk/share/5nkGOys6QrGxV,
Альфа,9,Переговорные ,9Б,Переговорная,Нет инфы тут ,,,,,,,
Альфа,10,Переговорные ,1008,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС
Вместимость 6 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,10,Переговорные ,1010,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС, флипчарт 
Вместимость 10 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,https://andreymashkin.ru/disk/share/WOMWqau3KqPam,
Альфа,10,Переговорные ,10 Б,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС
Вместимость 6 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Альфа,11,Переговорные ,1102,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС, флипчарт 
Вместимость 24 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,"https://andreymashkin.ru/disk/share/JZeVJvuWxJvvY
https://andreymashkin.ru/disk/share/VOK6mPu3ymDz8",
Альфа,11,Переговорные ,1104,Переговорная,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.

","ВКС, флипчарт 
Вместимость 13 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,https://andreymashkin.ru/disk/share/ppa4glhpXoaPx,
Парковка,?,Без категории,,Парковка,Нет,подробнее о парковке https://jive.croc.ru/community/knowledge/everyday/social/parkovka-krok,,,,,,
Парковка,?,Сервис ,,Велопарковка ,??,"Точка паркинга и проката велосипедов
",,,Подробнее о прокате велосипедов https://jive.croc.ru/community/knowledge/everyday/corporate/sport/zelyonye-velosipedy-krok,,https://andreymashkin.ru/disk/share/Era2zvubQz3pX,
Парковка,?,Сервис ,,Точки зарядки электромобилей ,??,"Точка зарядки электромобиля 
",,,"Для того чтобы воспользоваться зарядным устройством, пожалуйста, заранее согласуйте время зарядки автомобиля в Telegram-чате. 
Это поможет эффективнее распределить время использования зарядок между всеми заинтересованными.

Надеемся, что поездки на работу станут более удобными и экологичными 🌱",,"просто точки поставить , карту ранее отправляла ",
Бета,1,Без категории,,Входная группа ,Да,"ЗАО «КРОК инкорпорейтед»
https://www.croc.ru",,,,,https://andreymashkin.ru/disk/share/WOMWqau3Kqr4z,
Бета,1,Сервис ,Турникет,Турникет с NFC проходом ,Нет,"Возможность прохода в офис без использования пластиковой карты-пропуска, а через идентификацию с передачей номера карты по NFC/BLE смартфона.",,,https://jive.croc.ru/community/knowledge/everyday/social/proxod-v-ofis-s-pomoshhyu-telefona,,Просто  поставить точку локации во входной группе,
Бета,1,Питание ,,КРОК кофе (кофе-точка на карте),Да,"Точка подзарядки вкусным кофе
",,,,График работы: понедельник пятница с 8:00 до 19:00,https://andreymashkin.ru/disk/share/eeVndbCkDv3zb,фото типовое 
Бета,1,Питание ,,Вендинг ,Да,"Быстрый перекус или полноценный обед в «шаговой» доступности.
1 этаж 
",,"Для вендинга ОС - foodfeedback@croc.ru
",,Круглосуточно,"https://yandex.ru/images/search?from=tabbar&img_url=https%3A%2F%2Fwww.niasam.ru%2F221783_i_gallerybig.jpg&lr=213&pos=1&rpt=simage&text=%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B0%20%D0%B1%D0%B0%D0%BD%D0%BA%D0%BE%D0%BC%D0%B0%D1%82%D0%B0%20
https://yandex.ru/images/search?from=tabbar&img_url=https%3A%2F%2Fimg.freepik.com%2Fpremium-vector%2Fvending-machine-snack-drink_6427-85.jpg%3Fw%3D2000&lr=213&pos=0&rpt=simage&text=%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B0%20%D0%B2%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3%D0%B0",картинки предлагаю сделать без лого 9 и на банкоматы и на вендинг ) мало ли будут замены. Можно комменты указать в доп.информации  
Бета,1,Сервис ,,Гардероб,Да,"Гардероб предназначен для хранения верхней одежды, а также обуви в пакетах
",,FieldService@croc.ru,,Круглосуточно,https://andreymashkin.ru/disk/share/VOK6mPu3ymbW1,
Бета,1,Сервис ,,"Лифты (подсветить только 1 этаж коопуса 1 и 3 , для информации) 
Есть большой и малый лифтовой холл 9обратить внимание)",Да,"При застревании в лифте соблюдайте спокойствие и действуйте согласно инструкции, расположенной на панели управления в каждом лифте.

При неисправности лифта следует:
нажать колокольчик и описать
ситуацию диспетчеру
ЛИБО
позвонить 8 (495) 974-22-74
доб 83-02, 83-03, круглосуточно
ЛИБО
позвонить дежурному лифтеру
ООО «ЛифтКомплекс» 8 (495) 974-22-74
доб 83-01.",,FieldService@croc.ru,,Круглосуточно ,https://andreymashkin.ru/disk/share/y0rVxlSZKk8Xo,"обозначить , что фото типовое "
Бета,2,Переговорные ,203,Конференц-зал,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость 70  чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,https://andreymashkin.ru/disk/share/zoqVAmHJ711q7,
Бета,2,Переговорные ,203 а , Учебный класс ,??,"Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость 25 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,2,Переговорные ,201,Конференц-зал,Нет,"Бронируй через календарь в Outlook
или в @CrocLiveBot.",Вместимость 20 чел,"Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,2,Питание ,,Столовая ,Да,"Столовая полного цикла для питания сотрудников и гостей КРОК
Основной зал
Мягкая зона ",,foodfeedback@croc.ru,https://jive.croc.ru/community/knowledge/everyday/social/lunch,с 8:30 до 17:00,"https://andreymashkin.ru/disk/share/WOMWqau3KqrbO
https://andreymashkin.ru/disk/share/02XRVKuegZYPW
https://andreymashkin.ru/disk/share/7KAD3WueOqbX1
https://andreymashkin.ru/disk/share/XRYPVXsKyVvXR",
Бета,2,Сервис ,,банкомат,Нет,"Банкомат: Сбербанк, работает на внесение и снятие наличных денежных средств ",,,,,https://yandex.ru/images/search?from=tabbar&img_url=https%3A%2F%2Fimg.freepik.com%2Fpremium-vector%2Fvending-machine-snack-drink_6427-85.jpg%3Fw%3D2000&lr=213&pos=0&rpt=simage&text=%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B0%20%D0%B2%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3%D0%B0,
Бета,3,Переговорные ,311,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","ЖК-панель, телефон
Вместимость 9 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,3,Переговорные ,315,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","ЖК-панель, телефон
Вместимость 4 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,3,Переговорные ,317,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","ЖК-панель, телефон
Вместимость 10 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
